Ã¯Â»Â¿userName,content,at,score
Siti Aisah,['oke'],29/01/2024 04:35,1
Rauqan R.r,"['percaya', 'mini', 'game', 'panjat', 'kuota', 'mini', 'game', 'scam', 'lihat', 'iklan']",17/01/2024 17:32,0
Era Fone,"['sinyal', 'nya', 'beneringangguan', 'melulu', 'aneh']",26/01/2024 12:49,0
Burhanudin,"['wow', 'keren', 'beli', 'kuota', 'whatsapp']",14/01/2024 14:11,1
Rudi,"['masuk', 'unduh', 'tidak', 'masuk', 'downloadnya', 'iya', 'agak', 'sih']",26/01/2024 15:28,1
Sanjaya 123,"['guna', 'kecewa', 'im3', 'sekarangawal', 'nya', 'isi', 'pulsa', 'promonya', 'murah', 'eehh', 'selesai', 'isi', 'pulsa', 'promonya', 'drastis', 'banget']",14/01/2024 04:20,0
Epi Ana,['bagus'],28/01/2024 14:09,1
Ibnu Noorfadila,"['indosat', 'tolol']",13/01/2024 03:53,0
Tegar Triyo Mustika Dani,"['kecewa', 'indosat', 'sekarangter', 'pasar', 'laku', 'bayar', 'dompet', 'digital', 'bug']",19/01/2024 12:26,0
Miswati Wati,"['foto', 'w']",26/01/2024 19:13,1
Puji Indrawan,"['aplikasiy', 'bagus']",25/01/2024 17:26,1
Arca Sena,[],31/01/2024 19:43,1
Sensor Kabeh,"['paraaahbanget', 'cumagara2', 'baru', 'poin', '30000', 'an', 'hilangjadi', 'ngulang', 'awal', 'parah', 'banget', 'sampahudah', 'kuota', 'mahalmending', 'beli', 'beda', '8k', 'banget', 'selisihnyaga', 'tidak', 'poinpercuma', 'cape2', 'ngumpulin', 'hilang', 'poin', 'nya']",27/01/2024 09:53,0
Rey Rombe,"['tidak', 'niat', 'masang', 'jaring', 'internet', 'bahodopi', 'sulawesi', 'lebih baik', 'tidak', 'pasah', 'payah', 'lelet']",21/01/2024 17:28,0
Abang Tampan,"['bagus', 'puas']",17/01/2024 15:22,1
Imam Syafaa,"['kouta', 'saya', 'mahal', 'sedngkan', 'seluler', 'teman', 'kartu', 'm3', 'murh', 'bngt']",11/01/2024 02:07,0
Lip Enjoy,"['aplikasi', 'nya', 'mantap']",26/01/2024 11:54,1
Rofi 999,['ok'],14/01/2024 16:18,1
Remaja Mushola,"['ok', 'banget']",17/01/2024 05:58,1
Yo Osop,"['lagi', 'sihh', 'tidak', 'indosat']",26/01/2024 13:20,0
Vtaee Min,"['aplikasi', 'nya', 'si', 'gak', 'kuota', 'tidak', 'buka', 'aplikasi', 'nya', 'kecewa', 'si']",24/01/2024 04:18,0
Wandi Danuarta,"['rusak', 'nya', 'isi', 'pulsa', 'koata', 'tipu']",13/01/2024 11:29,0
Panji Setiawan,['ok'],22/01/2024 13:06,1
M Kelvin,"['lila', 'anjing']",24/01/2024 13:27,0
Rudi Apriliyanto,"['bagus', 'tampil', 'aplikasi', 'detail']",28/01/2024 06:42,0
Kobel Ulai,['bagus'],18/01/2024 16:57,1
BANG NAN'D,"['wkwkwk', 'operator', 'lelet', 'indonesia', 'alami', 'pakai', 'tidak', 'kota', 'tidak', 'kampung', 'jaring', 'parah', 'banget', 'operator', 'doang', 'lelet', 'murah', 'sih', 'kuota', 'internet', 'nyatapi', 'sia', 'tidak', 'lebih baik', 'operator', 'indosat', 'tidak', 'indonesia', 'mah', 'tidak']",19/01/2024 18:47,0
