ï»¿userName,content,at,score
Siti Aisah,['oke'],29/01/2024 04:35,5
Rauqan R.r,"['percaya', 'mini', 'game', 'panjat', 'kuota', 'mini', 'game', 'scam', 'lihat', 'iklan']",17/01/2024 17:32,1
Era Fone,"['sinyal', 'nya', 'beneringangguan', 'melulu', 'aneh']",26/01/2024 12:49,1
Burhanudin,"['wow', 'keren', 'beli', 'kuota', 'whatsapp']",14/01/2024 14:11,4
Rudi,"['masuk', 'unduh', 'tidak', 'masuk', 'downloadnya', 'iya', 'agak', 'sih']",26/01/2024 15:28,5
Sanjaya 123,"['guna', 'kecewa', 'im3', 'sekarangawal', 'nya', 'isi', 'pulsa', 'promonya', 'murah', 'eehh', 'selesai', 'isi', 'pulsa', 'promonya', 'drastis', 'banget']",14/01/2024 04:20,1
Epi Ana,['bagus'],28/01/2024 14:09,5
Ibnu Noorfadila,"['indosat', 'tolol']",13/01/2024 03:53,1
Tegar Triyo Mustika Dani,"['kecewa', 'indosat', 'sekarangter', 'pasar', 'laku', 'bayar', 'dompet', 'digital', 'bug']",19/01/2024 12:26,1
Miswati Wati,"['foto', 'w']",26/01/2024 19:13,5
Puji Indrawan,"['aplikasiy', 'bagus']",25/01/2024 17:26,5
Arca Sena,[],31/01/2024 19:43,5
Sensor Kabeh,"['paraaahbanget', 'cumagara2', 'baru', 'poin', '30000', 'an', 'hilangjadi', 'ngulang', 'awal', 'parah', 'banget', 'sampahudah', 'kuota', 'mahalmending', 'beli', 'beda', '8k', 'banget', 'selisihnyaga', 'tidak', 'poinpercuma', 'cape2', 'ngumpulin', 'hilang', 'poin', 'nya']",27/01/2024 09:53,1
Rey Rombe,"['tidak', 'niat', 'masang', 'jaring', 'internet', 'bahodopi', 'sulawesi', 'lebih baik', 'tidak', 'pasah', 'payah', 'lelet']",21/01/2024 17:28,1
Abang Tampan,"['bagus', 'puas']",17/01/2024 15:22,5
Imam Syafaa,"['kouta', 'saya', 'mahal', 'sedngkan', 'seluler', 'teman', 'kartu', 'm3', 'murh', 'bngt']",11/01/2024 02:07,2
Lip Enjoy,"['aplikasi', 'nya', 'mantap']",26/01/2024 11:54,5
Rofi 999,['ok'],14/01/2024 16:18,4
Remaja Mushola,"['ok', 'banget']",17/01/2024 05:58,5
Yo Osop,"['lagi', 'sihh', 'tidak', 'indosat']",26/01/2024 13:20,1
Vtaee Min,"['aplikasi', 'nya', 'si', 'gak', 'kuota', 'tidak', 'buka', 'aplikasi', 'nya', 'kecewa', 'si']",24/01/2024 04:18,1
Wandi Danuarta,"['rusak', 'nya', 'isi', 'pulsa', 'koata', 'tipu']",13/01/2024 11:29,1
Panji Setiawan,['ok'],22/01/2024 13:06,5
M Kelvin,"['lila', 'anjing']",24/01/2024 13:27,1
Rudi Apriliyanto,"['bagus', 'tampil', 'aplikasi', 'detail']",28/01/2024 06:42,1
Kobel Ulai,['bagus'],18/01/2024 16:57,5
BANG NAN'D,"['wkwkwk', 'operator', 'lelet', 'indonesia', 'alami', 'pakai', 'tidak', 'kota', 'tidak', 'kampung', 'jaring', 'parah', 'banget', 'operator', 'doang', 'lelet', 'murah', 'sih', 'kuota', 'internet', 'nyatapi', 'sia', 'tidak', 'lebih baik', 'operator', 'indosat', 'tidak', 'indonesia', 'mah', 'tidak']",19/01/2024 18:47,1
Lilik Cakep,"['sinyal', 'jelek', 'jelek', 'geser', 'dikit', 'hilang', 'sinyal', 'pindah', 'hilang', 'sinyal', 'hujan', 'mati', 'lampu', 'putus', 'tuh', 'sinyal', 'kayak', 'gin', 'guna', 'kecewa', 'layan', 'ikan', 'konsumen', 'buat', 'usaha', 'kualitas', 'layan', 'ikan', 'nol']",28/01/2024 14:34,1
Abdul Tuanaya,"['5g', 'hadir']",26/01/2024 22:30,5
Angga Andika,"['indosat', '11', 'januari', '2024']",11/01/2024 04:44,1
Muhammad miistar Mistar,['bagus'],28/01/2024 14:47,5
Ardys,"['paket', '30', 'mwahal']",31/01/2024 02:36,1
sahril ilham,"['operator', 'indosat', 'ngantukk', 'nuker', 'kuota', 'tidak', 'konfirmasi', 'bodoh']",13/01/2024 01:02,1
Sandy ÂsandyÂ Eka,"['sms', 'nomor', '99222', 'pulsa', 'sedot', '12002000an', 'suruh', 'unreg', 'hubung', '1852', 'pas', 'hubung', 'tidak', 'langgan', 'apa', 'malas', 'beli', 'pulsa', 'andira', 'by', 'aplikasi', 'myim3', 'tidak', 'sedia']",11/01/2024 05:55,1
NUR ROHMAN,['bagus'],23/01/2024 05:26,5
Maz Ali,"['sinyal', 'bagus', 'bagus', 'gadipake']",26/01/2024 13:56,1
Andi Ardian,"['emtri', 'jaring', 'buruk']",26/01/2024 13:52,1
Dede Sutisna,"['selamat', 'indosat', 'terima', 'kasih', 'tani', 'hampir', '15', 'pindah', 'provider', 'ingat', 'kualitas', 'sinyal', 'busukkk']",17/01/2024 14:49,1
Aben Herdiansyah,['bagus'],20/01/2024 01:47,5
Arif Hidayat,"['jaring', 'nya', 'hilang']",26/01/2024 12:51,1
Rian Syah,"['kartu', 'gak', 'sinyal', 'usaha', 'setia', 'kartu', '2', 'sabar', 'ngadep', 'sinyal', 'gak', 'kadang', 'hilang', 'pas', 'main', 'game', 'hilang', 'ganggu', 'suka', 'notif', 'bohong', 'ganggu', 'putus', 'buang', 'kartu', 'gak', 'iya', 'pakai', 'kartu', 'desa', 'kota', 'kerja', 'tidak', 'terima', 'kasih']",26/01/2024 18:51,1
Nanang Kusnadi,"['error', 'tidak', 'unduh', 'gmn', 'nya']",26/01/2024 13:22,5
Dita Mahardika Damayanti,"['terima', 'kasih']",14/01/2024 01:01,5
Ryo Arovi,"['jih', 'kesini', 'makain', 'tidak', 'sih', 'indosat', 'm3', 'layan', 'jelek', 'banget', 'sumpah', 'ganggu', 'minggu2', 'tidak', 'hujan', 'tidak', 'angin', 'tiba2', 'hilang', 'tiba2', 'lelet', 'aneh']",31/01/2024 13:47,1
Sumantri Mantri,['bonus'],29/01/2024 17:02,5
Sandi San,['okokok'],18/01/2024 16:40,4
Faiz Mudhakir,[],16/01/2024 19:05,5
Hariyanto Mix II,"['mahal', 'paket', 'nyajuga', 'cepat', 'habis']",16/01/2024 05:13,1
sahiruddin syahir,['mantap'],25/01/2024 22:53,5
Figo Elang,['naiseh'],25/01/2024 02:59,5
Hilmi Sayko,"['baru', 'tidak', 'cek', 'tanggal', 'aktif', 'habis', 'bobrok', 'sistem']",15/01/2024 06:14,1
esadamara putra,"['nge', 'bug', 'anjing']",18/01/2024 12:57,1
Imam Syafii,['bagus'],11/01/2024 03:38,5
Era Gaming,['ppuas'],26/01/2024 01:38,5
Hani Nurhanifah,['ok'],18/01/2024 02:33,4
Sky Gracee,"['isi', 'pulsa', 'beli', 'paket', 'sengaja', 'nyisain', 'pulsa', '70000', '4200', 'gak', 'adik', 'pakai', 'im3', 'gtu', 'pulsa', 'nya', 'hangus', 'gatau', 'kemna', 'paket', 'internet', 'jaring', 'hilang', 'lelet', 'bawa', 'main', 'sih', 'opetator', 'nya']",25/01/2024 03:53,1
Dwie Heru,['bagus'],28/01/2024 12:01,5
Khusairi Ari,"['kasih', 'bintang', 'gak', 'jls', 'jaring', 'im3', 'iniditempat']",17/01/2024 16:39,1
Rofiq Hidayat,"['kuota', 'freedom', '11gb', 'sisa', '8', 'ganti', 'kuota', 'darurat', '700mbrp4550', 'pulsa', 'darurat', 'kartu', 'aktif', '2024', 'notif', 'ganti', 'tahu', 'resah']",17/01/2024 01:50,1
